    Datos: 	N#5778		28/2/2024 - 22:37
**************************************************************
Items		Cant.	Costo Items
--------------------------------------------------------------------------pollo		2	 $ 2.64
salmón		3	 $ 6.93
pizza 3		1	 $ 2.65
coca		3	 $ 2.97
fanta		1	 $ 1.54
té		5	 $ 5.5
helado		1	 $ 1.54
fruta		2	 $ 2.64
pay		1	 $ 2.14
pastel		5	 $ 9.7
--------------------------------------------------------------------------Costo de la Comida: 			$ 12.22
Costo de la Bebida: 			$ 10.01
Costo de los Postres: 			$ 16.02
--------------------------------------------------------------------------Subtotal: 			$ 38.25
Impuestos: 			$ 6.5
Total: 			$ 44.75
**************************************************************
Lo esperamos pronto
